trade_id,timestamp_utc,event,market,side,strike,price,outcome_price,size,model_probability,ev_per_contract,ev_dollars,edge_pct,realized_pnl,spot_price,last_candle_close,spot_candle_gap_pct,annual_vol,horizon_hours,settlement_time_utc,settlement_mode,notes
T1766694539,2025-12-25T20:28:59.102885+00:00,OPEN,btc-hourly-12-25-4pm,YES,87750,0.6463333333,,30,0.724021,0.0777,2.33,0.1202,,87839.22,87811.76,0.0313,0.2179,0.539,2025-12-25T21:00:00+00:00,hourly,
T1766694539,2025-12-25T21:27:48.025248+00:00,CLOSE,btc-hourly-12-25-4pm,YES,87750,0.6463333333,1,30,0.724021,0.0777,2.33,0.1202,10.61,87839.22,87811.76,0.0313,0.2179,0.539,2025-12-25T21:00:00+00:00,hourly,| PnL: +10.61
T1766698521,2025-12-25T21:35:21.954826+00:00,OPEN,btc-hourly-12-25-5pm,NO,87750,0.1066666667,,18,0.150338,0.0437,0.79,0.4094,,87893.29,87887.35,0.0068,0.2224,0.44,2025-12-25T22:00:00+00:00,hourly,no on 87.5k 5pm market
T1766698521,2025-12-25T22:00:40.178227+00:00,CLOSE,btc-hourly-12-25-5pm,NO,87750,0.1066666667,0,18,0.150338,0.0437,0.79,0.4094,-1.92,87893.29,87887.35,0.0068,0.2224,0.44,2025-12-25T22:00:00+00:00,hourly,| PnL: -1.92
T1766700297,2025-12-25T22:04:57.112302+00:00,OPEN,btc-hourly-12-25-6pm,YES,88000,0.2011111111,,9,0.239871,0.0388,0.35,0.1927,,87858.09,87863.31,0.0059,0.222,0.928,2025-12-25T23:00:00+00:00,hourly,
T1766700297,2025-12-26T12:51:29.218406+00:00,CLOSE,btc-hourly-12-25-6pm,YES,88000,0.2011111111,0,9,0.239871,0.0388,0.35,0.1927,-1.81,87858.09,87863.31,0.0059,0.222,0.928,2025-12-25T23:00:00+00:00,hourly,| PnL: -1.81
T1766754663,2025-12-26T13:11:03.176458+00:00,OPEN,btc-hourly-12-26-9am,YES,89000,0.118125,,16,0.15408,0.036,0.58,0.3044,,88692.01,88678.4,0.0154,0.349,0.833,2025-12-26T14:00:00+00:00,hourly,yes 9am 89k
T1766754663,2025-12-26T15:25:04.570295+00:00,CLOSE,btc-hourly-12-26-9am,YES,89000,0.118125,0,16,0.15408,0.036,0.58,0.3044,-1.89,88692.01,88678.4,0.0154,0.349,0.833,2025-12-26T14:00:00+00:00,hourly,| PnL: -1.89
T1766762960,2025-12-26T15:29:20.871395+00:00,OPEN,btc-hourly-12-26-11am,NO,87000,0.6857142857,,7,0.744972,0.0593,0.41,0.0864,,86822.65,86799.98,0.0261,0.3967,0.534,2025-12-26T16:00:00+00:00,hourly,no on 87k
T1766763242,2025-12-26T15:34:02.159906+00:00,OPEN,btc-hourly-12-26-11am,YES,87000,0.4977777778,,9,0.571061,0.0733,0.66,0.1472,,87044.12,86995.98,0.0553,0.3945,0.452,2025-12-26T16:00:00+00:00,hourly,over 87k
T1766763875,2025-12-26T15:44:35.666877+00:00,OPEN,btc-hourly-12-26-11am,NO,87000,0.6857142857,,14,0.838615,0.1529,2.14,0.223,,86811.88,86904,0.106,0.3941,0.27,2025-12-26T16:00:00+00:00,hourly,
T1766764096,2025-12-26T15:48:16.250070+00:00,OPEN,btc-hourly-12-26-11am,YES,87000,0.6855,,20,0.801374,0.1159,2.32,0.169,,87142.36,86904,0.2743,0.3941,0.211,2025-12-26T16:00:00+00:00,hourly,
T1766764246,2025-12-26T15:50:46.138433+00:00,OPEN,btc-hourly-12-26-11am,YES,87000,0.58625,,8,0.73129,0.145,1.16,0.2474,,87091.99,86904,0.2163,0.3941,0.166,2025-12-26T16:00:00+00:00,hourly,
T1766762960,2025-12-26T16:01:20.890396+00:00,CLOSE,btc-hourly-12-26-11am,NO,87000,0.6857142857,0,7,0.744972,0.0593,0.41,0.0864,-4.8,86822.65,86799.98,0.0261,0.3967,0.534,2025-12-26T16:00:00+00:00,hourly,| PnL: -4.80
T1766763242,2025-12-26T16:01:42.977351+00:00,CLOSE,btc-hourly-12-26-11am,YES,87000,0.4977777778,1,9,0.571061,0.0733,0.66,0.1472,4.52,87044.12,86995.98,0.0553,0.3945,0.452,2025-12-26T16:00:00+00:00,hourly,| PnL: +4.52
T1766763875,2025-12-26T16:02:05.046010+00:00,CLOSE,btc-hourly-12-26-11am,NO,87000,0.6857142857,0,14,0.838615,0.1529,2.14,0.223,-9.6,86811.88,86904,0.106,0.3941,0.27,2025-12-26T16:00:00+00:00,hourly,| PnL: -9.60
T1766764096,2025-12-26T16:02:29.306190+00:00,CLOSE,btc-hourly-12-26-11am,YES,87000,0.6855,1,20,0.801374,0.1159,2.32,0.169,6.29,87142.36,86904,0.2743,0.3941,0.211,2025-12-26T16:00:00+00:00,hourly,| PnL: +6.29
T1766764246,2025-12-26T16:03:25.236852+00:00,CLOSE,btc-hourly-12-26-11am,YES,87000,0.58625,1,8,0.73129,0.145,1.16,0.2474,3.31,87091.99,86904,0.2163,0.3941,0.166,2025-12-26T16:00:00+00:00,hourly,| PnL: +3.31
T1766766177,2025-12-26T16:22:57.672939+00:00,OPEN,btc-hourly-12-26-12pm,YES,87500,0.1385714286,,7,0.172033,0.0335,0.23,0.2415,,87224.01,87065.61,0.1819,0.3941,0.629,2025-12-26T17:00:00+00:00,hourly,
T1766766177,2025-12-26T17:49:55.559993+00:00,CLOSE,btc-hourly-12-26-12pm,YES,87500,0.1385714286,0,7,0.172033,0.0335,0.23,0.2415,-0.97,87224.01,87065.61,0.1819,0.3941,0.629,2025-12-26T17:00:00+00:00,hourly,| PnL: -0.97T1766909875
T1766884532,2025-12-28T08:17:55.122113+00:00,OPEN,btc-daily-12-28,NO,88000,0.6578947368,,152,0.700391,0.0425,6.46,0.0646,,87735.76,87735.76,0,0.1446,13.736,2025-12-28T22:00:00+00:00,daily_5pm,3am-5pm PAPER
T1766910593,2025-12-28T08:29:53.724169+00:00,OPEN,btc-daily-12-28,NO,88500,0.8547008547,,117,0.943145,0.0884,10.35,0.1035,,87708.12,87706.23,0.0022,0.1445,13.553,2025-12-28T22:00:00+00:00,daily_5pm,330am-5pm PAPER
T1766913110,2025-12-28T09:11:50.587637+00:00,OPEN,btc-daily-12-28,NO,88000.0,0.6361783439490446,,157,0.683426,0.0472,7.42,0.0743,,87765.05,87755.5,0.0109,0.1462,12.862,2025-12-28T22:00:00+00:00,daily_5pm,411am-5pm PAPER
T1766913516,2025-12-28T09:18:36.858398+00:00,OPEN,btc-daily-12-28,NO,88500.0,0.8208264462809917,,121,0.925441,0.1046,12.66,0.1274,,87792.52,87800.67,0.0093,0.1461,12.718,2025-12-28T22:00:00+00:00,daily_5pm,418am-5pm PAPER
T1766884532,2025-12-29T05:55:50.698263+00:00,CLOSE,btc-daily-12-28,NO,88000,0.657895,1.000000,152,0.700391,0.0425,6.46,0.0646,52.00,87735.76,87735.76,0,0.1446,13.736,2025-12-28T22:00:00+00:00,daily_5pm,close_type=WIN | PnL: +52.00
T1766910593,2025-12-29T05:56:11.108215+00:00,CLOSE,btc-daily-12-28,NO,88500,0.854701,1.000000,117,0.943145,0.0884,10.35,0.1035,17.00,87708.12,87706.23,0.0022,0.1445,13.553,2025-12-28T22:00:00+00:00,daily_5pm,close_type=WIN | PnL: +17.00
T1766913110,2025-12-29T05:56:26.148715+00:00,CLOSE,btc-daily-12-28,NO,88000.0,0.636178,1.000000,157,0.683426,0.0472,7.42,0.0743,57.12,87765.05,87755.5,0.0109,0.1462,12.862,2025-12-28T22:00:00+00:00,daily_5pm,close_type=WIN | PnL: +57.12
T1766913516,2025-12-29T05:56:44.519329+00:00,CLOSE,btc-daily-12-28,NO,88500.0,0.820826,1.000000,121,0.925441,0.1046,12.66,0.1274,21.68,87792.52,87800.67,0.0093,0.1461,12.718,2025-12-28T22:00:00+00:00,daily_5pm,close_type=WIN | PnL: +21.68
T1766988129,2025-12-29T06:02:09.598978+00:00,OPEN,btc-daily-12-29,NO,90500.0,0.6757142857142857,,147,0.725136,0.0494,7.27,0.0731,,89907.2,89893.47,0.0153,0.2572,15.992,2025-12-29T22:00:00+00:00,daily_5pm,
T1766988129,2025-12-29T22:04:46.438169+00:00,CLOSE,btc-daily-12-29,NO,90500.0,0.675714,1.000000,147,0.725136,0.0494,7.27,0.0731,47.67,89907.2,89893.47,0.0153,0.2572,15.992,2025-12-29T22:00:00+00:00,daily_5pm,PAPER | close_type=WIN | PnL: +47.67
T1767046244,2025-12-29T22:10:44.745810+00:00,OPEN,btc-hourly-12-29-6pm,NO,87000.0,0.36593406593406597,,273,0.386964,0.021,5.74,0.0575,,87099.15,87096.93,0.0026,0.4012,0.856,2025-12-29T23:00:00+00:00,hourly,PAPER
T1767049116,2025-12-29T22:58:36.206658+00:00,OPEN,btc-hourly-12-28-6pm,NO,87250.0,0.10638297872340426,,94,0.361574,0.2552,23.99,2.3988,,87273.98,87246.85,0.0311,0.4014,0.033,2025-12-29T23:00:00+00:00,hourly,PAPER
T1767049116,2025-12-29T23:01:01.210133+00:00,CLOSE,btc-hourly-12-28-6pm,NO,87250.0,0.106383,1.000000,94,0.361574,0.2552,23.99,2.3988,84.00,87273.98,87246.85,0.0311,0.4014,0.033,2025-12-29T23:00:00+00:00,hourly,close_type=WIN | PnL: +84.00
T1767046244,2025-12-30T13:10:08.834330+00:00,CLOSE,btc-hourly-12-29-6pm,NO,87000.0,0.365934,1.000000,273,0.386964,0.021,5.74,0.0575,173.10,87099.15,87096.93,0.0026,0.4012,0.856,2025-12-29T23:00:00+00:00,hourly,paper | close_type=WIN | PnL: +173.10
